Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords,CATEGORY_EN,CATEGORY_ES
Australasian Journal of Logic,https://fediphilosophy.org/@ajlonline,https://ojs.victoria.ac.nz/ajl/index,Global,English,-,-,11/11/2022,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
Development ,https://mstdn.science/@Dev_journal,https://journals.biologists.com/dev,Global,English,-,Biology,15/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
Disease Models & Mechanisms,https://mstdn.science/@DMM_Journal,https://journals.biologists.com/dmm,Global,English,-,-,15/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
Eur Journal of Personality,https://mastodon.world/@ejp,https://journals.sagepub.com/home/erp,Global,English,-,-,24/11/2022,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
FocalPlane,https://mstdn.science/@focalplane_jcs,https://focalplane.biologists.com/,Global,English,-,-,15/11/2022,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
Geopolitics Journal ,https://mastodon.social/@Geopolitics,https://www.tandfonline.com/toc/fgeo20/current,Global,English,-,-,13/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
JAC-AMR,https://scicomm.xyz/@JACAMR,https://academic.oup.com/jacamr/,Global,English,-,-,01/11/2022,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
Journal Experimental Medicine ,https://mstdn.science/@JExpMed,https://rupress.org/jem,Global,English,-,-,18/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
Journal of Cell Biology (JCB) ,https://mstdn.science/@JCellBiol,https://rupress.org/JCB,Global,English,-,-,18/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
Journal of Cell Science ,https://mstdn.science/@J_Cell_Sci,https://journals.biologists.com/jcs,Global,English,-,-,15/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
Journal of General Physiology ,https://mstdn.science/@JGenPhysiol,https://rupress.org/jgp,Global,English,-,-,18/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
Journal of Hospital Medicine,https://med-mastodon.com/@JHospMedicine,https://shmpublications.onlinelibrary.wiley.com/journal/15535606,Global,English,-,-,11/11/2022,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
Journal of Political Ecology ,https://sciences.social/@journalofpoliticalecology,https://journals.librarypublishing.arizona.edu/jpe/,Global,English,-,-,06/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
Landscape Research Journal ,https://mas.to/@landscaperesearch,https://landscaperesearch.org/journal/,Global,English,https://www.tandfonline.com/toc/clar20/current,-,07/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
Law & Space Journal ,https://mastodon.social/@lawandspacejournal,https://lawandspace.com/,Global,English,-,-,05/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
Nature Astronomy ,https://astrodon.social/@NatureAstronomy,https://www.nature.com/natastron/,Global,English,-,-,07/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
"NBDT, a neuro open journal ",https://sigmoid.social/@nbdt_journal,https://nbdt.scholasticahq.com/,Global,English,-,-,14/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
Open Journal of Astrophysics ,https://astrodon.social/@OJ_Astro,http://astro.theoj.org/,Global,English,-,-,10/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
ORCID Organization,https://scicomm.xyz/@ORCID_Org,https://info.orcid.org/,Global,English,-,-,07/11/2022,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
Physics Magazine ,https://mas.to/@physics_magazine,https://www.aps.org/publications/physics.cfm,Global,English,-,-,14/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
PLOS,https://mstdn.science/@PLOS,https://plos.org/,Global,English,-,-,08/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
PLOS Biology ,https://fediscience.org/@PLOSBiology,https://journals.plos.org/plosbiology/,Global,English,-,-,08/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
PLOS Climate ,https://mstdn.science/@plosclimate,http://plosclimate.org/,Global,English,-,-,21/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
preLights,https://mstdn.science/@preLights,https://prelights.biologists.com/,Global,English,-,-,15/11/2022,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
PTPBio,https://scicomm.xyz/@ptpbio,https://ptpbio.org/,Global,English,-,-,07/09/2018,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
Quantitative Science Studies ,https://scicomm.xyz/@QSS_ISSI,https://direct.mit.edu/qss,Global,English,-,-,05/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
Scientific European ,https://toot.community/@ScientificEuropean,https://www.scientificeuropean.co.uk/,Global,Multi,-,-,07/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
The Company of Biologists,https://mstdn.science/@Co_Biologists,https://www.biologists.com/,Global,English,-,-,15/11/2022,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
The Node,https://mstdn.science/@the_node,https://thenode.biologists.com/,Global,English,-,-,15/11/2022,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
Wilson Ornithological Society ,https://ecoevo.social/@WilsonOrnithSoc,https://wilsonsociety.org/,Global,English,-,-,07/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
zbMATH Open,https://mathstodon.xyz/@zbMATH,http://zbmath.org/,Global,English,-,-,01/12/2022,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas"
